CompanyName,FirstName,LastName,City,State,WebSite
12 Oaks Senior Living,Richard K,Blaylock,Dallas,TX,www.12oaks.net
A Place for Mom,Sean,Kell,Seattle,WA,www.aplaceformom.com
Apollo Global Real Estate,Daniel,Kwon,,,
Arena,Michael,Finn,,,
Arent Fox LLP,Kenneth S,Jacob,Washington,DC,www.arentfox.com
Arnall Golden Gregory LLP,Hedy S,Rubinger,Atlanta,GA,www.agg.com
Artemis Real Estate Partners,Jonathan,Rainford,Los Angeles,CA,www.artemisrep.com
Asbury Communities,Doug,Leidig,,,
ASSA ABLOY Hospitality,Riise,Walker,,,www.assaabloyhospitality.com
attunedcare,brian,cloch,,,
"Balfour Senior Living, LLC",Michael K,Schonbrun,Louisville,CO,www.balfourcare.com
Barrington Venture Holding Company LLC,Thomas S,Herb,Barrington,IL,www.thegarlands.com
Baxter Construction Company,Greg,Schulte,Des Moines,IA,baxterconstructionco.com
be.group,John H,Cochrane III,Glendale,CA,www.thebegroup.org
Berkadia Commercial Mortgage LLC,Christopher E,Honn,Chicago,IL,www.berkadia.com
Bloomfield Capital,Alaina,Korreck,,,
Blue Harbor Senior Living,Tana,Gall,Portland,OR,www.blueharborsl.com
BMO HARRIS BANK,IMRAN,JAVAID,Washington,DC,
BOK Financial,Steve,LeBlanc,Dallas,TX,www.bokf.com
Cadence Senior Living,Eric,Gruber,,,www.cadencesl.com
Cambridge Realty Capital Companies,Jeffrey A,Davis,,,www.cambridgecap.com
Capital Healthcare Investments,Paul,Nevala,Bethesda,MD,
"Capital Solutions, Inc",Jason,Morganroth,,,www.cap-sol.com
CapitalSource,Steven L,Gilleland,Cumming,GA,www.capitalsource.com
Caremerge,Olga,,,,www.caremerge.com
"CareTrust REIT, Inc.",Gregory,Stapley,San Clemente,CA,www.caretrustreit.com
CareWorx,Sara,Haskill,,,www.careworx.com
"Carlyle Group, The",Zachary,Crowe,,,www.carlyle.com
CBRE,Zach,Bowyer,Boston,MA,www.cbre.com/shvas
Charter Senior Living,Keven,Bennema,Naperville,IL,
CISCOR,Sam,Youngwirth,Norman,OK,www.ciscor.com
CIT,Michael,Coiley,Livingston,NJ,
Clark Nuber PS,Amber,Busch,,,www.clarknuber.com
CNS Global Advisors,Sebastian,,,,
Coastal Reconstruction Group,Lucas,McCurdy,,,www.coastalreconstruction.com
Columbia Pacific Advisors,Todd,Seneker,,,
Confluent Development,John,Reinsma,,,http://www.confluentdev.com/
"CORNELL COMMUNICATIONS, INC.",Jerel,Johnson,Milwaukee,WI,www.cornell.com
Cottage Senior Living,W,Clifford White III,Huntsville,AL,www.cottageseniorliving.com
Covenant Retirement Communities,Rick K,Fisk,Skokie,IL,www.covenantretirement.org
Direct Supply Inc.,W,Bradford Klitsch,Milwaukee,WI,www.directsupply.net
Eldermark Software,Bradley,Fuqua,,,
Era Living,Eli J,Almo,Seattle,WA,www.eraliving.com
Foley & Lardner LLP,Michael,Okaty,Orlando,FL,www.foley.com
"Foresight Senior Living Development, LLC",Jack,Cheng,,,
Fremont Realty Capital,Ashminder,Singh,San Francisco,CA,www.fremontrealtycapital.com
G5,Ashley,Nicol,Bend,OR,www.g5marketing.com
Ganzhorn Suites,Eleanor,Alvarez,Powell,OH,www.leaderstat.com
GlynnDevins Senior Living Marketing Solutions,James T,Glynn,Overland Park,KS,www.glynndevins.com
Goldman Sachs,Christopher,Sower,Washington,DC,www.gs.com
Goldman Sachs & Company,Owen,Morris,San Francisco,CA,www.gs.com
Granite Investment Group,Sandra,Frey,Irvine,CA,www.graniteinvestment.com
GreatCall,Sarah,Jones,Medota Heights,MN,www.greatcall.com/connected-health
Greenleaf Energy Solutions,Kevin,Siebrecht,,,www.greenleafenergy.com
Greystone Communities,Michael B,Lanahan,Irving,TX,www.greystonecommunities.com
"Guest Services, Inc.",Scott,Shepherd,,,
Hamilton Insurance Agency,Alicia,McNey,Fairfax,VA,www.hamiltoninsurance.com
Harbert Management Corporation,Brian,Landrum,Dallas,TX,www.harbert.net
Harrison Street Real Estate Capital,Michael,,Chicago,IL,www.harrisonst.com
"Healthcare Trust, Inc.",W,Todd Jensen,New York,NY,www.thehealthcarereit2.com
Holiday Retirement,Lilly,Donohue,,,www.holidaytouch.com
"Howard Hughes Corporation, The",Peter,Doyle,The Woodlands,TX,
HPI Architecture,Kathie,Bloomfield,Newport Beach,CA,www.hpiarchitecture.com
Huntington National Bank,Daniel,Storer,,,
Isakson Living,E,Andrew Isakson,Atlanta,GA,www.isaksonliving.com
It's Never 2 Late,Jack,York,,,in2l.com
"JCH Consulting Group, Inc",James E,Hazzard,Anaheim,CA,www.jchgroupinc.com
JEA Senior Living,W,Cody Erwin,Vancouver,WA,http://www.jeaseniorliving.com
Kaufman Jacobs,Jay,Patel,,,
Kindred Healthcare,Carrie,Coumbs,,,Www.kindredhealthcare.com
KKR,Williard,Butcher,New York,NY,"www,kkr,com"
Koelsch Communities,Aaron,Koelsch,Olympia,WA,www.koelschseniorcommunities.com
Kwalu,Michael,Zusman,Atlanta,GA,www.kwalu.com
"Lifespace Communities, Inc.",Sloan,Bentley,Des Moines,IA,www.lifespacecommunities.com
Lincoln Healthcare Leadership,David,Ellis,Norwalk,CT,www.lincolnhc.com
Live Oak Bank,Adam,Sherman,,,www.liveoakbank.com/seniorcare
Lockton,Robert,Sprague,,,www.lockton.com
Love Funding Corporation,Leonard,Lucas,Boston,MA,www.lovefunding.com
M&T Bank,Jack,,,,
M&T Realty Capital Corporation,Robert J,Ryan,Buffalo,NY,www.mandtrealtycapital.com
"Masterpiece Living, LLC",Lawrence L,Landry,Palm Beach Gardens,FL,www.mymasterpieceliving.com
MatrixCare,Mary,Beth,,,
MB Financial Bank,Tom,Ferry,,,www.mbfinancial.com
Meridian Capital Group LLC,Ari,Adlerstein,New York,NY,www.meridiancapital.com
Modern Green US,Jay,Liu,,,
"Moore Diversified Services, Inc.",James A,Moore,Fort Worth,TX,www.m-d-s.com
Morgan Stanley,Matthew,Johnson,New York,NY,www.morganstanley.com
MorningStar Senior Living,Ken,Jaeger,Denver,CO,http://www.morningstarseniorliving.com/
Morrison Communityr Living,Kevin,Svagdis,Atlanta,GA,www.iammorrison.com
Mutual of Omaha Bank,Alan,DeTata,,,
National Real Estate Advisors,Jeffrey,Kanne,,,
"Northbridge Companies, The",Wendy A,Nowokunski,Burlington,MA,www.northbridgecos.com
NorthMarq Capital,Gordon P,Mickelson,Centennial,CO,www.northmarq.com
NRC Health,Rich,Kortum,,,
Omega Senior Living,Craig,Hanson,,,www.omegasrliving.com
"OnShift, Inc.",Ken,Roos,Cleveland,OH,www.onshift.com
"Oxford Capital Group, LLC",Lawrence,Cummings,Chicago,IL,www.oxford-capital.com
Palatine Capital Partners,Jason,Betesh,,,
Pi Architects,Rose,Vera,,,
Plante Moran Living Forward,Dana,Wollschlager,,,www.pmlivingforward.com
PointClickCare,Mark,Keating,,,
Popular Community Bank,Andrew,Boland,,,www.popularcommunitybank.com
Prelude Services,Jason,Stevens,,,
PrimeTime Living,Judy,Freeman,Ontario,Canada,www.primetimeliving
"Principle Valuation, LLC",Timothy H,Baker,Chicago,IL,www.principlevaluation.com
Prorize LLC,Ahmet,Kuyumcu,,,
Provision Living LLC,Todd,Spittal,,,"St. Louis, MO"
PS Lifestyle LLC,John,Polatz,,,http://www.salonps.com/
Quality Care Properties,Mark,Ordan,,,www.qcpcorp.com
"Radiant Senior Living, Inc.",James,Guffee,Portland,OR,www.radiantseniorliving.com
"Ray Stone, Inc.",J,Todd Stone,Sacramento,CA,www.raystoneseniors.com
RealPage Senior Living,Heather,Gullickson,Carrollton,TX,www.realpage.com/senior-living
"REES Associates, Inc.",Michelle,Clark,Dallas,TX,www.rees-associates.com
"Roche Associates, Inc., The",Joseph L,Roche,Wilbraham,MA,www.roche-assoc.com
Rockwood Pacific Inc.,Francesco,Rockwood,,,www.rockwoodpacific.com
Senior Housing News,John,Yedinak,Chicago,IL,www.seniorhousingnews.com
ServiceTrac,Michael,Johnson,,,
Sherpa,David A,Smith,Saint Louis,MO,www.oneonone.com
Sienna Senior Living,Lois,Cormack,Markham,ON Canada,
"SilverCrest Properties, LLC",Michael F,Gould,,,"St. Louis Park, MN"
Silversphere,Rick,Taylor,,,www.silversphere.com
SmartStop Asset Management,John,Strockis,,,
Sodexo Senior Living,Ray,Torres,Oyster Bay,NY,www.sodexousa.com
Solutions Advisors,Cecelia,LaForge,Princeton,NJ,www.solutions-advisors.com
"South Bay Partners, Ltd.",Craig W,Spaulding,Dallas,TX,www.southbayltd.com
Spring Hills Senior Communities,Alexander C,Markowits,Edison,NJ,www.spring-hills.com
Steadfast Companies,Jim,Yoder,,,
"Stroud Properties, Inc.",James A,Stroud,Dallas,TX,www.stroudcompanies.com
Swiss Re,Neil,Sprackling,,,
"The Aegis Group, LLC",Vincent,Brown,,,www.aegistax.com
The Guardian Life Insurance Company of America,WILLIAM,ENGEL,,,
The Schwartzberg Companies,Steven,Lebowitz,,,
Touchtown,Ashlee,Bartko,,,www.touchtown.us
Unidine,Chad,Bellville,,,www.unidine.com
United Community Bank,Jennifer,Lawley,Birmingham,AL,
United Properties,Ray,Oborn,,,www.uproperties.com
VCPI,MICHELLE,DALTON,,,WWW.VCPI.COM
"Vinca Group, LLC, The",Alice,Katz,Owings Mills,MD,www.thevincagroup.com
"Visa, Inc.",April,Niemiec,,,www.visa.com
Walton Street Capital LLC,Howard,Brody,Chicago,IL,www.waltonst.com
Watercrest Senior Living Group,Marc,Vorkapich,Vero Beach,FL,www.watercrestslg.com
Welch Healthcare & Retirement Group,Paul,Casale,Norwell,MA,www.welchhrg.com
Willis Towers Watson,John M,Atkinson,Chicago,IL,www.willistowerswatson.com
Wohlsen Construction Company,Kenneth,Noreen,Lancaster,PA,www.wohlsenconstruction.com
"Yardi Systems, Inc.",Jillian,Hall,Goleta,CA,www.yardi.com
ZOM Senior Living,Greg,,Fort Lauderdale,FL,
zumBrunnen,John,zumBrunnen,,,www.zumbrunnen.com
